review_id,author,rating,text,date,month,thumbs_up,app_version,reply,replied_at,sentiment,topics,has_reply
1c87f48e-857e-4f5c-b582-376004840106,Li Lou,5,سهلة الاستعمال و سلسة. الرجاء اضافة خيار دفع ثمن الحجز بعد التأكيد دون وجوب الذهاب للوكالة.,2026-02-21,2026-02,0,18.0.0,,,positif,autre,False
405ea35e-ad61-404a-a083-dd3643ff659d,Sid ahmed Ben serradj,5,excellente,2026-02-13,2026-02,0,18.0.0,,,positif,autre,False
dd7fd1a8-ad6a-4ca0-b0f3-77f3edd5d693,Abderrahmane Seghirate,2,cette aplication ne foctionne pas j'ai essaié pour m' enregitrai sans resultats,2026-02-13,2026-02,0,18.0.0,,,négatif,autre,False
811e4509-aecd-4f77-97b9-fc570ad78544,sabah lamari,5,"je suis très contente du service Air Algérie. je l'avais pris au mois de décembre, sincèrement, j'avais remarqué plusieurs changements positifs. Bravo",2026-02-08,2026-02,3,18.0.0,,,positif,personnel,False
becef00a-f432-4277-a988-bf1dcc05871b,Amina KT,3,"impossible d'effectuer de paiement en ligne avec la carte edahabia, numéro de réservation créé puis annulé.",2026-02-08,2026-02,0,18.0.0,,,neutre,"remboursement, site_app",False
785ced1c-b702-444e-ba36-c70c5796cae2,Salim Blidi,5,bonne appli,2026-02-06,2026-02,0,16.0,,,positif,site_app,False
0367eac5-b999-4e9d-8fe5-e5428b636fde,Salah Eddie,5,L'application est très bien conçue et répond facilement à de nombreuses questions.,2026-02-05,2026-02,0,17.0.0,,,positif,site_app,False
27787695-9abb-4ea9-8620-6f34cc655ffc,Yacine Ayad,5,en bonne voie,2026-02-05,2026-02,0,17.0.0,,,positif,autre,False
b6fff660-8698-4cf8-8a13-64bd80634345,Chab Chab,3,"bonne application et enregistrement en ligne pratique dommage que le service a l'aéroport sois une catastrophe le personnel agressif et désagréable c'est la réputation de air Algérie et je confirme que c'est vrai moins on a a faire avec eux mieux c'est ,donc organiser vous bien niveau bagage main ,soute et poids car ils ne vous font aucun cadeau contrairement a volet.. bref l'application vous sauve pour éviter le personnel au sol et au passage un petit en-cas dans l'avion vous oubliez ? c grave",2026-02-02,2026-02,2,18.0.0,,,neutre,"bagage, personnel, site_app",False
fadaba9c-5159-4d39-a261-5934c86fcc56,nana BEN,5,Avec Air Algérie tout se passe très bien,2026-02-02,2026-02,0,16.0,,,positif,autre,False
c3a1fe78-7d44-43ed-b05e-ed5afae51bc8,Rami Chahine,1,بالنسبة لخدمة العملاء، لايوجد أي رد منكم عند الاتصال بكم على الأرقام الموضوعة تحت تصرف الزبائن. هذا الأسبوع تم إلغاء رحلة بسبب سوء الأحوال الجوية ولم نجد أي توضيح من طرفكم هل سيتم تعويض الرحلة في وقت لاحق أو ألغيت بصفة نهائية... عند التقدم إلى مكاتبكم قاموا بإعطائنا رقم هاتف وبعد الاتصال به لم نجد أي رد بدون أي توضيح بالدارجة ڨعدنا نستناو في المطار و واحد مافهمنا اذا كاين رحلة في وقت لاحق ولا لالا ...,2026-02-01,2026-02,0,18.0.0,,,négatif,autre,False
15e60f1d-777e-49cc-90ab-a5ec836e3c7a,Moustafa Gharbi,5,excellent sa fait plus d'un an que je m'en sers gain de temps et d'argent,2026-01-29,2026-01,0,,,,positif,autre,False
9f36a0e0-0bf0-4917-9a7f-fa828cc28a4f,Transpétroliers Malik16,5,very good,2026-01-28,2026-01,0,18.0.0,,,positif,autre,False
22bf5292-acc4-4022-a1d6-44b08f41d36a,Islam Azzo,5,10 sur 10,2026-01-27,2026-01,0,16.0,,,positif,autre,False
79ad9a7c-ba01-4eb5-8d31-31c07e8b3887,Ali Nabti,1,Depuis hier soir je n'arrive pas à trouver comment m'enregistrer en ligne et réserver mon siège. Soit disant nouveau site. Tu parles ! Trop de blablas et peu d'actions pratiques.,2026-01-26,2026-01,0,,,,négatif,"site_app, confort",False
113ba1eb-4f58-4813-9934-94d8d921c142,Lili Mounia,1,désolé mais je dois d'installer l'application pcq elle ne fonctionne plus comme avant à chaque fois ils me disent qu'il ya une erreur et je vois pas où est l'erreur avant de la mettre à jour elle fonctionne très très bien et maintenant elle me dégoute vraiment merci beaucoup pour votre echec,2026-01-25,2026-01,0,18.0.0,,,négatif,site_app,False
1a238942-6227-4f57-9066-6af2a162d257,brahim djanti,4,"تطبيق Air Algérie تجربة ممتازة وبوابة رقمية سهّلت علينا الكثير؛ استعملته مئات المرات وكان دائماً في المستوى من حيث السرعة وتوفر المعلومات، مما جعل إجراءات السفر أكثر سلاسة وبساطة. لدي ملاحظة تقنية بسيطة أتمنى أخذها بعين الاعتبار لتطوير الخدمة: واجهت صعوبة في تغيير تاريخ الإقلاع بشكل فردي ضمن حجز عائلي مشترك، حيث اضطررت للقيام بذلك يدوياً بدلاً من التطبيق. نرجو توفير ميزة 'فصل المسافر' أو تعديل التذاكر الفردية داخل الحجز الجماعي لتكتمل روعة التطبيق. كل التوفيق لكم!""",2026-01-22,2026-01,0,18.0.0,,,positif,autre,False
0609765f-c8ba-4ea4-b2a1-44fbc6959dba,Wassim,1,"corriger l'envoi du billet électronique,",2026-01-21,2026-01,1,18.0.0,,,négatif,autre,False
764a15d4-0735-45b1-878d-e3474fa67960,Sid Ahmed,3,la application et bien sauf quelle ne donne pas toute les informations nécessaires ele devrait avoir un contact service client air Algérie et avoir notre billet électronique directement dessus ça faciliterait les choses moi je reçu par mail mon billet électronique en arabe je ne sais pas si ça va passer merci,2026-01-21,2026-01,0,18.0.0,,,neutre,"personnel, site_app",False
3defc416-3632-4b07-bff0-c15f18f332df,belhenniche hamza,3,parfait,2026-01-20,2026-01,0,18.0.0,,,neutre,autre,False
aa7ddd0a-fee5-4275-81fe-dc15862d7c8a,hamza abdellatif,1,la mise a jour bug après avoir sélectionné le pays et la langue le popup de surclassement apparaît à chaque lancement,2026-01-20,2026-01,0,18.0.0,,,négatif,site_app,False
f2feb1b1-dd7f-4fcf-ba0f-ca3bdd67640c,Karim Soltani,5,fooooooooooort,2026-01-20,2026-01,0,18.0.0,,,positif,autre,False
ac4b29dc-960e-4e7d-924a-4b06d22dd3bf,abderrahmane bessaih,5,"Très satisfait de la compagnie, des pilotes à la hauteur ainsi que le personnelles",2026-01-20,2026-01,0,18.0.0,,,positif,personnel,False
e09976d3-c023-48e3-9668-9aa74d90c079,Amine Ait-ouyahia,1,surclassement??!!!?!?,2026-01-20,2026-01,0,12.0,,,négatif,autre,False
15087a7d-43c7-4c29-9d8b-a821fdb898aa,Datefate Mimi,5,"c'est une très bonne application,elle fonctionne bien.",2026-01-20,2026-01,0,18.0.0,,,positif,site_app,False
e1d19370-35b7-44a8-a332-69aade212d95,Moi Moi,5,très bien,2026-01-19,2026-01,0,,,,positif,autre,False
5813346e-74f8-41a2-af20-3b65d60a04e4,Ines 23,5,Une bonne application,2026-01-19,2026-01,0,,,,positif,site_app,False
cf74a2c2-168a-43f9-b853-e01bd3ea0a83,Larbi Bouarba,5,good 👍,2026-01-19,2026-01,0,,,,positif,autre,False
b7c3fd9e-d08e-4bf8-8a67-2b8fa6194df1,RACHID,5,Vive AIR ALGÉRIE,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
f4e57ecd-a04d-474f-8a95-40b724fd3689,Soraya Rouainia,5,très bien,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
dedd7702-95c8-4aaa-89c5-cd958347414d,Reda Rahou,5,Application facile et efficace,2026-01-19,2026-01,0,18.0.0,,,positif,site_app,False
ce0f941f-d849-4eb5-a0d2-1552789faf3b,Samir,1,la plus mauvaise compagnie aérienne.,2026-01-19,2026-01,0,18.0.0,,,négatif,autre,False
1e88eae9-01c3-4c43-8637-4b63b5d50325,Latifa Saad,5,satisfaite,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
d00f8357-9d4a-4221-96c7-cedea07de514,Valerie Boukort,5,parfait,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
03df1332-a88f-48ce-b9f9-8dfe27ec1247,Lal Elhadi,4,rien a signaler tout est parfait,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
fe6b26bc-385a-4479-81f6-9f9b6da7fc4b,Mehdi Chelihi,5,ماشاء الله,2026-01-19,2026-01,0,18.0.0,,,positif,autre,False
8b911658-a18e-48ad-90a8-5f1dbb038cb0,Med-said,1,ne fonctionne plus,2026-01-19,2026-01,0,18.0.0,,,négatif,autre,False
